track,stage,wall_ms,cpu_ms,cpu_cores,audio_s,ms_per_audio_s
"11 - Subterraneans.flac",metadata_artwork,2.0,3.3,1.66,339.29,0.01
"11 - Subterraneans.flac",decode,3843.4,4030.1,1.05,339.29,11.33
"11 - Subterraneans.flac",loudness_profile,1826.8,1823.4,1.00,339.29,5.38
"11 - Subterraneans.flac",stem_separation,159.9,100.1,0.63,339.29,0.47
"11 - Subterraneans.flac",stem_warmup,665.7,663.3,1.00,339.29,1.96
"11 - Subterraneans.flac",mir,23562.2,23487.1,1.00,339.29,69.44
"11 - Subterraneans.flac",beat_grid,269.9,162.2,0.60,339.29,0.80
"11 - Subterraneans.flac",grid_onset_calibration,7718.2,7701.4,1.00,339.29,22.75
"11 - Subterraneans.flac",instrument_family,4502.9,3471.8,0.77,339.29,13.27
"11 - Subterraneans.flac",stem_series_sweep,45994.5,38472.2,0.84,339.29,135.56
"11 - Subterraneans.flac",cache_write,21.1,14.1,0.67,339.29,0.06
"11 - Subterraneans.flac",TRACK_TOTAL,88621.8,79949.9,0.90,339.29,261.20
