track,stage,wall_ms,cpu_ms,cpu_cores,audio_s,ms_per_audio_s
"11 - Subterraneans.flac",stem_warmup,31.5,75.5,2.39,339.29,0.09
"11 - Subterraneans.flac",mir,1277.3,2288.4,1.79,339.29,3.76
"11 - Subterraneans.flac",beat_grid,214.5,300.5,1.40,339.29,0.63
"11 - Subterraneans.flac",grid_onset_calibration,97.5,143.8,1.48,339.29,0.29
"11 - Subterraneans.flac",instrument_family,643.7,963.7,1.50,339.29,1.90
"10 - Weeping Wall.flac",stem_series_sweep,14216.0,19057.6,1.34,208.24,68.27
"10 - Weeping Wall.flac",cache_write,15.3,14.2,0.93,208.24,0.07
"10 - Weeping Wall.flac",TRACK_TOTAL,15752.0,21779.4,1.38,208.24,75.64
"11 - Subterraneans.flac",stem_series_sweep,20969.2,20471.4,0.98,339.29,61.80
"11 - Subterraneans.flac",cache_write,17.3,12.2,0.71,339.29,0.05
"11 - Subterraneans.flac",TRACK_TOTAL,23846.7,25771.8,1.08,339.29,70.28
