time	bass	mid	treble	bass_att	mid_att	treb_att	beat_raw	beat	beat_bass	beat_mid	beat_treble	sub_bass	low_bass	low_mid	mid_high	high_mid	high
0.000	0.1810	0.1248	0.1248	0.0235	0.0235	0.0235	0.0000	0.0000	0.0000	0.0000	0.0000	0.1810	0.1810	0.1248	0.1248	0.1248	0.0953
0.017	0.1810	0.1248	0.1248	0.0235	0.0235	0.0235	0.0000	0.0000	0.0000	0.0000	0.0000	0.1810	0.1810	0.1248	0.1248	0.1248	0.0953
0.033	0.3302	0.2349	0.2349	0.0466	0.0466	0.0466	0.0000	0.0000	0.0000	0.0000	0.0000	0.3302	0.3302	0.2349	0.2349	0.2349	0.1858
0.050	0.4526	0.3313	0.3313	0.0692	0.0692	0.0692	0.0000	0.0000	0.0000	0.0000	0.0000	0.4526	0.4526	0.3313	0.3313	0.3204	0.2445
0.067	0.5529	0.4158	0.4158	0.0914	0.0914	0.0914	0.0000	0.0000	0.0000	0.0000	0.0000	0.5529	0.5529	0.4158	0.4158	0.3832	0.2876
0.083	0.6349	0.4898	0.4898	0.1131	0.1131	0.1131	0.0000	0.0000	0.0000	0.0000	0.0000	0.6349	0.6349	0.4898	0.4898	0.4332	0.3207
0.100	0.6349	0.4898	0.4898	0.1131	0.1131	0.1131	0.0000	0.0000	0.0000	0.0000	0.0000	0.6349	0.6349	0.4898	0.4898	0.4332	0.3207
0.117	0.7024	0.5548	0.5548	0.1344	0.1344	0.1344	0.0000	0.0000	0.0000	0.0000	0.0000	0.7024	0.7024	0.5548	0.5548	0.4664	0.3420
0.133	0.7575	0.6117	0.6117	0.1552	0.1552	0.1552	0.0000	0.0000	0.0000	0.0000	0.0000	0.7402	0.7575	0.6117	0.6117	0.4865	0.3526
0.150	0.8025	0.6614	0.6614	0.1756	0.1756	0.1756	0.0000	0.0000	0.0000	0.0000	0.0000	0.7242	0.8025	0.6614	0.6614	0.4950	0.3582
0.166	0.8025	0.6614	0.6614	0.1756	0.1756	0.1756	0.0000	0.0000	0.0000	0.0000	0.0000	0.7242	0.8025	0.6614	0.6614	0.4950	0.3582
0.182	0.8392	0.7049	0.7049	0.1955	0.1955	0.1955	0.0000	0.0000	0.0000	0.0000	0.0000	0.6887	0.7960	0.7049	0.7049	0.4934	0.3570
0.200	0.8692	0.7429	0.7429	0.2151	0.2151	0.2151	0.0000	0.0000	0.0000	0.0000	0.0000	0.6573	0.7962	0.7429	0.7429	0.4852	0.3501
0.217	0.8937	0.7761	0.7761	0.2342	0.2342	0.2342	0.0000	0.0000	0.0000	0.0000	0.0000	0.6139	0.7752	0.7761	0.7761	0.4818	0.3470
0.232	0.9135	0.8050	0.8050	0.2528	0.2528	0.2528	0.0000	0.0000	0.0000	0.0000	0.0000	0.5834	0.7735	0.8050	0.8050	0.4821	0.3471
0.250	0.9135	0.8050	0.8050	0.2528	0.2528	0.2528	0.0000	0.0000	0.0000	0.0000	0.0000	0.5834	0.7735	0.8050	0.8050	0.4821	0.3471
0.268	0.9298	0.8304	0.8304	0.2712	0.2712	0.2712	0.0000	0.0000	0.0000	0.0000	0.0000	0.5600	0.7801	0.8304	0.8304	0.4783	0.3420
0.283	0.9430	0.8524	0.8524	0.2891	0.2891	0.2891	0.0000	0.0000	0.0000	0.0000	0.0000	0.5428	0.7827	0.8524	0.8524	0.4712	0.3355
0.300	0.9538	0.8716	0.8716	0.3065	0.3065	0.3065	0.0000	0.0000	0.0000	0.0000	0.0000	0.5008	0.7458	0.8716	0.8716	0.4580	0.3255
0.317	0.9538	0.8716	0.8716	0.3065	0.3065	0.3065	0.0000	0.0000	0.0000	0.0000	0.0000	0.5008	0.7458	0.8716	0.8716	0.4580	0.3255
0.332	0.9546	0.8883	0.8883	0.3225	0.3235	0.3235	0.0000	0.0000	0.0000	0.0000	0.0000	0.4673	0.6982	0.8883	0.8883	0.4454	0.3166
0.350	0.9587	0.9029	0.9029	0.3386	0.3402	0.3402	0.0000	0.0000	0.0000	0.0000	0.0000	0.4374	0.6620	0.9029	0.9029	0.4321	0.3066
0.367	0.9665	0.9156	0.9156	0.3550	0.3565	0.3565	0.0000	0.0000	0.0000	0.0000	0.0000	0.4198	0.6477	0.9156	0.9156	0.4211	0.2976
0.383	0.9729	0.9267	0.9267	0.3709	0.3724	0.3724	0.0000	0.0000	0.0000	0.0000	0.0000	0.4114	0.6424	0.9267	0.9267	0.4101	0.2892
0.400	0.9729	0.9267	0.9267	0.3709	0.3724	0.3724	0.0000	0.0000	0.0000	0.0000	0.0000	0.4114	0.6424	0.9267	0.9267	0.4101	0.2892
0.417	0.9780	0.9363	0.9363	0.3865	0.3879	0.3879	0.0000	0.0000	0.0000	0.0000	0.0000	0.3926	0.6252	0.9363	0.9363	0.4007	0.2825
0.433	0.9822	0.9447	0.9447	0.4017	0.4031	0.4031	0.0000	0.0000	0.0000	0.0000	0.0000	0.3776	0.6066	0.9447	0.9447	0.3887	0.2738
0.450	0.9856	0.9519	0.9519	0.4165	0.4179	0.4179	0.0000	0.0000	0.0000	0.0000	0.0000	0.3697	0.5962	0.9519	0.9519	0.3809	0.2685
0.467	0.9779	0.9583	0.9583	0.4297	0.4324	0.4324	0.0000	0.0000	0.0000	0.0000	0.0000	0.3499	0.5771	0.9583	0.9583	0.3740	0.2639
0.483	0.9779	0.9583	0.9583	0.4297	0.4324	0.4324	0.0000	0.0000	0.0000	0.0000	0.0000	0.3499	0.5771	0.9583	0.9583	0.3740	0.2639
0.499	0.9821	0.9637	0.9637	0.4438	0.4465	0.4465	0.0000	0.0000	0.0000	0.0000	0.0000	0.3396	0.5694	0.9637	0.9637	0.3702	0.2607
0.516	0.9743	0.9685	0.9685	0.4562	0.4602	0.4602	0.0000	0.0000	0.0000	0.0000	0.0000	0.3286	0.5529	0.9685	0.9685	0.3641	0.2566
0.532	0.9403	0.9629	0.9616	0.4646	0.4718	0.4716	0.0000	0.0000	0.0000	0.0000	0.0000	0.3105	0.5256	0.9717	0.9667	0.3530	0.2489
0.550	0.9403	0.9629	0.9616	0.4646	0.4718	0.4716	0.0000	0.0000	0.0000	0.0000	0.0000	0.3105	0.5256	0.9717	0.9667	0.3530	0.2489
0.567	0.9091	0.9562	0.9618	0.4724	0.4828	0.4838	0.0000	0.0000	0.0000	0.0000	0.0000	0.2970	0.5004	0.9698	0.9665	0.3454	0.2439
0.582	0.8624	0.9373	0.9569	0.4772	0.4910	0.4948	0.0000	0.0000	0.0000	0.0000	0.0000	0.2777	0.4694	0.9517	0.9555	0.3373	0.2391
0.599	0.8237	0.9181	0.9518	0.4818	0.4986	0.5054	0.0000	0.0000	0.0000	0.0000	0.0000	0.2630	0.4430	0.9317	0.9446	0.3304	0.2348
0.618	0.8046	0.9097	0.9574	0.4879	0.5075	0.5177	0.0000	0.0000	0.0000	0.0000	0.0000	0.2517	0.4284	0.9257	0.9426	0.3278	0.2338
0.633	0.8046	0.9097	0.9574	0.4879	0.5075	0.5177	0.0000	0.0000	0.0000	0.0000	0.0000	0.2517	0.4284	0.9257	0.9426	0.3278	0.2338
0.651	0.7691	0.8887	0.9491	0.4912	0.5136	0.5271	0.0000	0.0000	0.0000	0.0000	0.0000	0.2379	0.4057	0.9044	0.9277	0.3217	0.2303
0.667	0.8134	0.8902	0.9545	0.5039	0.5233	0.5387	0.0000	0.0000	0.0000	0.0000	0.0000	0.2516	0.4265	0.9131	0.9290	0.3207	0.2302
0.683	0.8305	0.8844	0.9498	0.5139	0.5314	0.5483	0.0000	0.0000	0.0000	0.0000	0.0000	0.2603	0.4307	0.9134	0.9232	0.3169	0.2280
0.701	0.8305	0.8844	0.9498	0.5139	0.5314	0.5483	0.0000	0.0000	0.0000	0.0000	0.0000	0.2603	0.4307	0.9134	0.9232	0.3169	0.2280
0.716	0.8446	0.8760	0.9476	0.5237	0.5387	0.5579	0.0000	0.0000	0.0000	0.0000	0.0000	0.2641	0.4354	0.9083	0.9155	0.3141	0.2272
0.733	0.8714	0.8717	0.9366	0.5352	0.5463	0.5656	0.0000	0.0000	0.0000	0.0000	0.0000	0.2690	0.4487	0.9120	0.9080	0.3093	0.2238
0.750	0.8833	0.8657	0.9220	0.5452	0.5533	0.5721	0.0000	0.0000	0.0000	0.0000	0.0000	0.2757	0.4528	0.9100	0.9003	0.3035	0.2196
0.767	0.8866	0.8558	0.9092	0.5542	0.5593	0.5785	0.0000	0.0000	0.0000	0.0000	0.0000	0.2795	0.4530	0.9023	0.8905	0.2986	0.2157
0.784	0.8866	0.8558	0.9092	0.5542	0.5593	0.5785	0.0000	0.0000	0.0000	0.0000	0.0000	0.2795	0.4530	0.9023	0.8905	0.2986	0.2157
0.800	0.8850	0.8472	0.8935	0.5623	0.5652	0.5839	0.0000	0.0000	0.0000	0.0000	0.0000	0.2788	0.4536	0.8985	0.8792	0.2927	0.2115
0.817	0.8767	0.8334	0.8793	0.5693	0.5697	0.5890	0.0000	0.0000	0.0000	0.0000	0.0000	0.2744	0.4509	0.8876	0.8640	0.2872	0.2082
0.833	0.8843	0.8238	0.8603	0.5781	0.5744	0.5927	0.0000	0.0000	0.0000	0.0000	0.0000	0.2768	0.4559	0.8848	0.8472	0.2804	0.2035
0.850	0.8843	0.8238	0.8603	0.5781	0.5744	0.5927	0.0000	0.0000	0.0000	0.0000	0.0000	0.2768	0.4559	0.8848	0.8472	0.2804	0.2035
0.867	0.8827	0.8129	0.8470	0.5855	0.5787	0.5969	0.0000	0.0000	0.0000	0.0000	0.0000	0.2830	0.4547	0.8757	0.8336	0.2755	0.2000
0.883	0.8704	0.8031	0.8368	0.5914	0.5827	0.6012	0.0000	0.0000	0.0000	0.0000	0.0000	0.2787	0.4506	0.8667	0.8243	0.2718	0.1973
0.900	0.8582	0.8033	0.8342	0.5968	0.5883	0.6067	0.0000	0.0000	0.0000	0.0000	0.0000	0.2720	0.4467	0.8679	0.8246	0.2708	0.1962
0.917	0.8464	0.7908	0.8206	0.6019	0.5913	0.6098	0.0000	0.0000	0.0000	0.0000	0.0000	0.2709	0.4410	0.8548	0.8122	0.2663	0.1927
0.933	0.8464	0.7908	0.8206	0.6019	0.5913	0.6098	0.0000	0.0000	0.0000	0.0000	0.0000	0.2709	0.4410	0.8548	0.8122	0.2663	0.1927
0.950	0.8434	0.7832	0.8059	0.6076	0.5949	0.6124	0.0000	0.0000	0.0000	0.0000	0.0000	0.2742	0.4405	0.8510	0.8001	0.2612	0.1893
0.967	0.8434	0.7832	0.8059	0.6076	0.5949	0.6124	0.0000	0.0000	0.0000	0.0000	0.0000	0.2742	0.4405	0.8510	0.8001	0.2612	0.1893
0.983	0.8207	0.7717	0.7956	0.6106	0.5975	0.6153	0.0000	0.0000	0.0000	0.0000	0.0000	0.2649	0.4308	0.8378	0.7902	0.2575	0.1871
0.999	0.8049	0.7635	0.7850	0.6138	0.6003	0.6178	0.0000	0.0000	0.0000	0.0000	0.0000	0.2606	0.4233	0.8280	0.7835	0.2541	0.1842
1.016	0.7827	0.7545	0.7789	0.6158	0.6027	0.6209	0.0000	0.0000	0.0000	0.0000	0.0000	0.2550	0.4121	0.8137	0.7779	0.2523	0.1824
1.034	0.7664	0.7484	0.7769	0.6178	0.6054	0.6245	0.0000	0.0000	0.0000	0.0000	0.0000	0.2482	0.4050	0.8057	0.7755	0.2517	0.1821
1.050	0.7664	0.7484	0.7769	0.6178	0.6054	0.6245	0.0000	0.0000	0.0000	0.0000	0.0000	0.2482	0.4050	0.8057	0.7755	0.2517	0.1821
1.067	0.8115	0.7461	0.7702	0.6275	0.6086	0.6271	0.0000	0.0000	0.0000	0.0000	0.0000	0.2895	0.4260	0.8042	0.7713	0.2496	0.1803
1.084	0.8480	0.7413	0.7605	0.6369	0.6111	0.6289	0.8259	0.4129	0.8259	0.0000	0.0000	0.3571	0.4618	0.8011	0.7623	0.2462	0.1777
1.100	0.8582	0.7290	0.7472	0.6436	0.6121	0.6297	0.6820	0.3410	0.6820	0.0000	0.0000	0.3854	0.4538	0.7874	0.7472	0.2415	0.1743
1.117	0.8582	0.7290	0.7472	0.6436	0.6121	0.6297	0.5631	0.2815	0.5631	0.0000	0.0000	0.3854	0.4538	0.7874	0.7472	0.2415	0.1743
1.133	0.8358	0.7090	0.7376	0.6460	0.6113	0.6308	0.4652	0.2326	0.4652	0.0000	0.8262	0.3816	0.4376	0.7626	0.7292	0.2376	0.1727
1.149	0.7995	0.6910	0.7228	0.6461	0.6103	0.6307	0.3844	0.1922	0.3844	0.0000	0.6826	0.3610	0.4182	0.7392	0.7123	0.2326	0.1691
1.166	0.7557	0.6737	0.7075	0.6442	0.6091	0.6301	0.3176	0.1588	0.3176	0.0000	0.5641	0.3515	0.3918	0.7160	0.6969	0.2276	0.1654
1.183	0.7167	0.6565	0.6902	0.6419	0.6075	0.6288	0.2623	0.1312	0.2623	0.0000	0.4659	0.3352	0.3703	0.6947	0.6802	0.2219	0.1614
1.200	0.7167	0.6565	0.6902	0.6419	0.6075	0.6288	0.2166	0.1083	0.2166	0.0000	0.3847	0.3352	0.3703	0.6947	0.6802	0.2219	0.1614
1.217	0.6751	0.6442	0.6773	0.6384	0.6064	0.6279	0.1789	0.0895	0.1789	0.0000	0.3177	0.3081	0.3506	0.6779	0.6689	0.2178	0.1582
1.233	0.6322	0.6317	0.6700	0.6337	0.6050	0.6278	0.1477	0.0739	0.1477	0.0000	0.2624	0.2831	0.3310	0.6589	0.6609	0.2157	0.1565
1.250	0.5990	0.6250	0.6681	0.6293	0.6044	0.6285	0.1220	0.0610	0.1220	0.8259	0.2167	0.2638	0.3143	0.6468	0.6576	0.2154	0.1561
1.267	0.5512	0.6131	0.6627	0.6223	0.6027	0.6285	0.1007	0.0504	0.1007	0.6818	0.1789	0.2340	0.2917	0.6288	0.6500	0.2141	0.1551
1.283	0.5512	0.6131	0.6627	0.6223	0.6027	0.6285	0.0832	0.0416	0.0832	0.5631	0.1478	0.2340	0.2917	0.6288	0.6500	0.2141	0.1551
1.299	0.5133	0.6000	0.6563	0.6156	0.6005	0.6281	0.0687	0.0344	0.0687	0.4653	0.1221	0.2139	0.2722	0.6106	0.6405	0.2125	0.1540
1.317	0.4939	0.6027	0.6614	0.6105	0.6010	0.6298	0.0568	0.0284	0.0568	0.3842	0.1008	0.2001	0.2624	0.6092	0.6472	0.2150	0.1555
1.333	0.4752	0.5991	0.6570	0.6051	0.6003	0.6298	0.0469	0.0234	0.0469	0.3173	0.0833	0.1859	0.2529	0.6034	0.6460	0.2144	0.1548
1.350	0.4752	0.5991	0.6570	0.6051	0.6003	0.6298	0.0387	0.0194	0.0387	0.2620	0.0688	0.1859	0.2529	0.6034	0.6460	0.2144	0.1548
1.367	0.4565	0.5946	0.6528	0.5994	0.5994	0.6297	0.0320	0.0160	0.0320	0.2164	0.0568	0.1732	0.2437	0.5978	0.6429	0.2137	0.1546
1.383	0.4464	0.5890	0.6434	0.5944	0.5983	0.6285	0.0264	0.0132	0.0264	0.1787	0.0469	0.1651	0.2383	0.5921	0.6386	0.2114	0.1527
1.400	0.4368	0.5890	0.6397	0.5894	0.5980	0.6282	0.0218	0.0109	0.0218	0.1475	0.8257	0.1575	0.2328	0.5903	0.6414	0.2112	0.1522
1.417	0.5412	0.5987	0.6375	0.5992	0.5996	0.6280	0.0180	0.0090	0.0180	0.1218	0.6818	0.2033	0.2817	0.6086	0.6444	0.2111	0.1519
1.433	0.5412	0.5987	0.6375	0.5992	0.5996	0.6280	0.0149	0.0074	0.0149	0.1006	0.5630	0.2033	0.2817	0.6086	0.6444	0.2111	0.1519
1.450	0.6299	0.6021	0.6286	0.6093	0.6003	0.6266	0.0123	0.0061	0.0123	0.0831	0.4648	0.3035	0.3460	0.6195	0.6397	0.2083	0.1497
1.467	0.6935	0.5920	0.6178	0.6182	0.5984	0.6246	0.0101	0.0051	0.0101	0.0686	0.3838	0.3463	0.3630	0.6093	0.6268	0.2047	0.1470
1.483	0.6904	0.5891	0.6078	0.6197	0.5977	0.6225	0.0084	0.0042	0.0084	0.0566	0.3169	0.3451	0.3601	0.6101	0.6180	0.2012	0.1446
1.500	0.6904	0.5891	0.6078	0.6197	0.5977	0.6225	0.0069	0.0035	0.0069	0.0467	0.2616	0.3451	0.3601	0.6101	0.6180	0.2012	0.1446
1.517	0.7458	0.5961	0.6042	0.6287	0.5988	0.6215	0.8256	0.4128	0.0057	0.0386	0.2160	0.3700	0.3855	0.6220	0.6169	0.1998	0.1433
1.532	0.7474	0.6006	0.6016	0.6319	0.5996	0.6206	0.6819	0.3410	0.0047	0.0319	0.1784	0.3643	0.3912	0.6280	0.6190	0.1988	0.1421
1.550	0.7338	0.5949	0.5941	0.6330	0.5985	0.6187	0.5630	0.2815	0.0039	0.0263	0.1473	0.3502	0.3839	0.6213	0.6116	0.1960	0.1400
1.567	0.7136	0.5861	0.5872	0.6329	0.5968	0.6167	0.4648	0.2324	0.0032	0.0217	0.1216	0.3429	0.3754	0.6117	0.6014	0.1932	0.1384
1.583	0.7136	0.5861	0.5872	0.6329	0.5968	0.6167	0.3839	0.1920	0.0027	0.0179	0.1004	0.3429	0.3754	0.6117	0.6014	0.1932	0.1384
1.600	0.7414	0.5822	0.5788	0.6386	0.5957	0.6144	0.3170	0.1585	0.0022	0.0148	0.0829	0.3519	0.3939	0.6126	0.5892	0.1900	0.1363
1.617	0.7313	0.5766	0.5740	0.6399	0.5944	0.6126	0.2617	0.1308	0.0018	0.0122	0.0685	0.3374	0.3935	0.6086	0.5794	0.1879	0.1350
1.633	0.7302	0.5754	0.5740	0.6420	0.5937	0.6116	0.2160	0.1080	0.0015	0.0101	0.8256	0.3346	0.3961	0.6089	0.5739	0.1874	0.1349
1.650	0.7302	0.5754	0.5740	0.6420	0.5937	0.6116	0.1784	0.0892	0.0012	0.0083	0.6816	0.3346	0.3961	0.6089	0.5739	0.1874	0.1349
1.667	0.7235	0.5906	0.5819	0.6434	0.5961	0.6122	0.1473	0.0736	0.0010	0.0069	0.5627	0.3197	0.3984	0.6262	0.5851	0.1896	0.1361
1.683	0.6992	0.5958	0.5832	0.6422	0.5969	0.6117	0.1216	0.0608	0.0008	0.0057	0.4648	0.2997	0.3895	0.6318	0.5880	0.1897	0.1362
1.700	0.6911	0.6024	0.5898	0.6426	0.5982	0.6122	0.1004	0.0502	0.0007	0.0047	0.3837	0.2877	0.3889	0.6395	0.5935	0.1913	0.1377
1.717	0.6821	0.6037	0.5855	0.6427	0.5985	0.6108	0.0829	0.0414	0.0006	0.0039	0.3167	0.2807	0.3864	0.6415	0.5923	0.1897	0.1363
1.733	0.6821	0.6037	0.5855	0.6427	0.5985	0.6108	0.0684	0.0342	0.0005	0.0032	0.2615	0.2807	0.3864	0.6415	0.5923	0.1897	0.1363
1.750	0.6770	0.6021	0.5785	0.6430	0.5983	0.6088	0.0565	0.0282	0.0004	0.0026	0.2159	0.2769	0.3854	0.6417	0.5882	0.1871	0.1344
1.767	0.6626	0.5987	0.5694	0.6420	0.5978	0.6063	0.0466	0.0233	0.0003	0.0022	0.1782	0.2719	0.3785	0.6397	0.5822	0.1839	0.1319
1.783	0.6496	0.5940	0.5624	0.6408	0.5969	0.6041	0.0385	0.0193	0.0003	0.0018	0.1471	0.2625	0.3736	0.6364	0.5748	0.1812	0.1301
1.800	0.6346	0.5893	0.5611	0.6391	0.5960	0.6028	0.0318	0.0159	0.0002	0.0015	0.8255	0.2575	0.3656	0.6299	0.5722	0.1804	0.1295
1.817	0.6346	0.5893	0.5611	0.6391	0.5960	0.6028	0.0262	0.0131	0.0002	0.0012	0.6814	0.2575	0.3656	0.6299	0.5722	0.1804	0.1295
1.833	0.6287	0.5876	0.5565	0.6382	0.5955	0.6009	0.0217	0.0108	0.0001	0.0010	0.5626	0.2525	0.3639	0.6292	0.5672	0.1786	0.1284
1.849	0.6200	0.5798	0.5503	0.6368	0.5938	0.5986	0.0179	0.0089	0.0001	0.0008	0.4646	0.2498	0.3589	0.6222	0.5601	0.1762	0.1269
1.866	0.5993	0.5719	0.5420	0.6337	0.5920	0.5958	0.0148	0.0074	0.0001	0.0007	0.3836	0.2403	0.3479	0.6126	0.5520	0.1733	0.1249
1.884	0.5993	0.5719	0.5420	0.6337	0.5920	0.5958	0.0122	0.0061	0.0001	0.0006	0.3166	0.2403	0.3479	0.6126	0.5520	0.1733	0.1249
1.900	0.5917	0.5687	0.5413	0.6318	0.5908	0.5943	0.0101	0.0050	0.0001	0.0005	0.2614	0.2337	0.3450	0.6090	0.5500	0.1727	0.1249
1.917	0.5698	0.5611	0.5382	0.6279	0.5888	0.5924	0.0083	0.0042	0.0001	0.0004	0.2158	0.2279	0.3316	0.5964	0.5461	0.1716	0.1240
1.934	0.5657	0.5549	0.5375	0.6259	0.5870	0.5909	0.0069	0.0034	0.0000	0.0003	0.1781	0.2273	0.3295	0.5885	0.5427	0.1711	0.1239
1.950	0.5537	0.5457	0.5322	0.6228	0.5844	0.5885	0.0057	0.0028	0.0000	0.0003	0.1470	0.2227	0.3215	0.5763	0.5361	0.1694	0.1225
1.966	0.5453	0.5463	0.5350	0.6200	0.5836	0.5876	0.0047	0.0023	0.0000	0.0002	0.1214	0.2226	0.3170	0.5745	0.5390	0.1702	0.1229
1.984	0.5453	0.5463	0.5350	0.6200	0.5836	0.5876	0.0039	0.0019	0.0000	0.0002	0.1002	0.2226	0.3170	0.5745	0.5390	0.1702	0.1229
1.999	0.5385	0.5422	0.5307	0.6172	0.5818	0.5855	0.0032	0.0016	0.0000	0.0001	0.0827	0.2157	0.3145	0.5704	0.5346	0.1688	0.1218
2.016	0.5383	0.5411	0.5260	0.6152	0.5806	0.5832	0.0026	0.0013	0.0000	0.0001	0.0683	0.2150	0.3147	0.5704	0.5321	0.1672	0.1207
2.033	0.5501	0.5367	0.5165	0.6148	0.5788	0.5800	0.0022	0.0011	0.0000	0.0001	0.0564	0.2188	0.3221	0.5697	0.5234	0.1641	0.1185
2.050	0.5501	0.5367	0.5165	0.6148	0.5788	0.5800	0.0018	0.0009	0.0000	0.0001	0.0466	0.2188	0.3221	0.5697	0.5234	0.1641	0.1185
2.067	0.5486	0.5288	0.5086	0.6130	0.5762	0.5769	0.0015	0.0007	0.0000	0.0001	0.0384	0.2199	0.3204	0.5630	0.5140	0.1615	0.1167
2.084	0.5520	0.5231	0.5011	0.6118	0.5740	0.5737	0.0012	0.0006	0.0000	0.0001	0.0317	0.2210	0.3226	0.5596	0.5050	0.1589	0.1151
2.100	0.5459	0.5178	0.4967	0.6095	0.5717	0.5710	0.0010	0.0005	0.0000	0.0000	0.0262	0.2174	0.3197	0.5545	0.4992	0.1573	0.1142
2.117	0.5437	0.5151	0.4932	0.6076	0.5698	0.5685	0.0008	0.0004	0.0000	0.0000	0.0216	0.2143	0.3196	0.5531	0.4955	0.1561	0.1134
2.134	0.5437	0.5151	0.4932	0.6076	0.5698	0.5685	0.0007	0.0003	0.0000	0.0000	0.0178	0.2143	0.3196	0.5531	0.4955	0.1561	0.1134
2.150	0.5414	0.5115	0.4909	0.6056	0.5677	0.5662	0.0006	0.0003	0.0000	0.0000	0.0147	0.2150	0.3173	0.5485	0.4924	0.1553	0.1129
2.167	0.5373	0.5130	0.4924	0.6035	0.5666	0.5645	0.8252	0.4126	0.0000	0.0000	0.8252	0.2178	0.3140	0.5513	0.4925	0.1557	0.1133
2.183	0.5196	0.5213	0.4971	0.5995	0.5668	0.5636	0.6813	0.3406	0.0000	0.0000	0.6813	0.2070	0.3050	0.5592	0.5020	0.1572	0.1142
2.200	0.5196	0.5213	0.4971	0.5995	0.5668	0.5636	0.5625	0.2813	0.0000	0.0000	0.5625	0.2070	0.3050	0.5592	0.5020	0.1572	0.1142
2.217	0.4850	0.5133	0.4977	0.5930	0.5641	0.5620	0.4644	0.2322	0.0000	0.0000	0.4644	0.1919	0.2851	0.5460	0.4987	0.1573	0.1143
2.233	0.4684	0.5131	0.5028	0.5880	0.5628	0.5614	0.3834	0.1917	0.0000	0.0000	0.3834	0.1840	0.2757	0.5428	0.5020	0.1588	0.1156
2.250	0.4538	0.5095	0.5042	0.5831	0.5609	0.5601	0.3165	0.1583	0.8256	0.0000	0.3165	0.1808	0.2658	0.5355	0.5020	0.1593	0.1159
2.267	0.4506	0.5145	0.5060	0.5794	0.5605	0.5591	0.2613	0.1306	0.6815	0.0000	0.2613	0.1779	0.2648	0.5405	0.5076	0.1600	0.1161
2.282	0.4506	0.5145	0.5060	0.5794	0.5605	0.5591	0.2158	0.1079	0.5629	0.0000	0.2158	0.1779	0.2648	0.5405	0.5076	0.1600	0.1161
2.299	0.4252	0.5041	0.5008	0.5729	0.5574	0.5568	0.1782	0.0891	0.4649	0.0000	0.1782	0.1665	0.2498	0.5252	0.5013	0.1585	0.1147
2.317	0.4185	0.5080	0.5040	0.5682	0.5568	0.5559	0.1471	0.0736	0.3838	0.0000	0.1471	0.1607	0.2471	0.5297	0.5053	0.1595	0.1155
2.333	0.4006	0.4971	0.5033	0.5621	0.5535	0.5545	0.1215	0.0607	0.3169	0.0000	0.1215	0.1529	0.2364	0.5139	0.4991	0.1592	0.1154
2.350	0.3907	0.4969	0.5056	0.5567	0.5520	0.5536	0.1003	0.0501	0.2616	0.0000	0.8256	0.1490	0.2307	0.5120	0.5010	0.1601	0.1159
2.367	0.3907	0.4969	0.5056	0.5567	0.5520	0.5536	0.0828	0.0414	0.2160	0.0000	0.6815	0.1490	0.2307	0.5120	0.5010	0.1601	0.1159
2.383	0.3861	0.4890	0.4992	0.5519	0.5491	0.5512	0.0684	0.0342	0.1784	0.0000	0.5629	0.1483	0.2277	0.5033	0.4937	0.1581	0.1144
2.400	0.3768	0.4878	0.4955	0.5465	0.5474	0.5492	0.0565	0.0282	0.1472	0.0000	0.4647	0.1427	0.2226	0.5019	0.4932	0.1571	0.1134
2.417	0.3661	0.4836	0.4911	0.5408	0.5451	0.5470	0.0466	0.0233	0.1216	0.0000	0.3836	0.1363	0.2169	0.4967	0.4900	0.1558	0.1124
2.433	0.3661	0.4836	0.4911	0.5408	0.5451	0.5470	0.0385	0.0192	0.1003	0.0000	0.3167	0.1363	0.2169	0.4967	0.4900	0.1558	0.1124
2.450	0.3568	0.4791	0.4912	0.5352	0.5427	0.5456	0.0318	0.0159	0.0828	0.0000	0.2614	0.1327	0.2113	0.4885	0.4891	0.1559	0.1123
2.466	0.3638	0.4844	0.4937	0.5316	0.5421	0.5447	0.0262	0.0131	0.0684	0.0000	0.2159	0.1353	0.2153	0.4938	0.4941	0.1569	0.1127
2.483	0.3689	0.4842	0.4935	0.5280	0.5406	0.5434	0.0217	0.0108	0.0565	0.0000	0.1782	0.1367	0.2183	0.4958	0.4932	0.1567	0.1129
2.499	0.3636	0.4829	0.4920	0.5233	0.5389	0.5418	0.0179	0.0089	0.0466	0.0000	0.1472	0.1333	0.2155	0.4946	0.4920	0.1564	0.1125
2.517	0.3636	0.4829	0.4920	0.5233	0.5389	0.5418	0.0148	0.0074	0.0385	0.0000	0.1215	0.1333	0.2155	0.4946	0.4920	0.1564	0.1125
2.533	0.3689	0.4905	0.4952	0.5200	0.5389	0.5412	0.0122	0.0061	0.0318	0.0000	0.1003	0.1328	0.2190	0.5041	0.4984	0.1575	0.1133
2.550	0.3725	0.4874	0.4900	0.5166	0.5371	0.5390	0.0101	0.0050	0.0262	0.0000	0.0828	0.1385	0.2196	0.5007	0.4957	0.1559	0.1120
2.567	0.3907	0.5011	0.4915	0.5154	0.5384	0.5381	0.0083	0.0042	0.0217	0.0000	0.8255	0.1444	0.2305	0.5186	0.5053	0.1566	0.1120
2.583	0.3907	0.5011	0.4915	0.5154	0.5384	0.5381	0.0069	0.0034	0.0179	0.0000	0.6815	0.1444	0.2305	0.5186	0.5053	0.1566	0.1120
